trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,1,0.75,Incorrect,1.900551,
1,2,1,0.75,Incorrect,1.916994,
1,2,1,0.75,Incorrect,1.934512,
1,2,1,0.75,Incorrect,1.951035,
1,2,1,0.75,Incorrect,1.968121,
1,2,1,0.75,Incorrect,1.985012,
1,2,1,0.75,Incorrect,2.001841,
1,2,1,0.75,Incorrect,2.018507,
1,2,1,0.75,Incorrect,2.036173,
1,2,1,0.75,Incorrect,2.052636,
1,2,1,0.75,Incorrect,2.070152,
1,2,1,0.75,Incorrect,2.086117,
1,2,1,0.75,Incorrect,2.104008,
1,2,1,0.75,Incorrect,2.121173,
1,2,1,0.75,Incorrect,2.138798,
1,2,1,0.75,Incorrect,2.155759,
1,2,1,0.75,Incorrect,2.17197,
1,2,1,0.75,Incorrect,2.1892,
1,2,1,0.75,Incorrect,2.205743,
1,2,1,0.75,Incorrect,2.222394,
1,2,1,0.75,Incorrect,2.239473,
1,2,1,0.75,Incorrect,2.256634,
1,2,1,0.75,Incorrect,2.273959,
1,2,1,0.75,Incorrect,2.290862,
1,2,1,0.75,Incorrect,2.307587,
1,2,1,0.75,Incorrect,2.324367,
1,2,1,0.75,Incorrect,2.341323,
1,2,1,0.75,Incorrect,2.357754,
1,2,1,0.75,Incorrect,2.37462,
1,2,1,0.75,Incorrect,2.392584,
1,2,1,0.75,Incorrect,2.409762,
1,2,1,0.75,Incorrect,2.426029,
1,2,1,0.75,Incorrect,2.442534,
1,2,1,0.75,Incorrect,2.459772,
1,2,1,0.75,Incorrect,2.476479,
1,2,1,0.75,Incorrect,2.493432,
1,2,1,0.75,Incorrect,2.516339,
1,2,1,0.75,Incorrect,2.532515,
1,2,1,0.75,Incorrect,2.549086,
1,2,1,0.75,Incorrect,2.566241,
1,2,1,0.75,Incorrect,2.583581,
1,2,1,0.75,Incorrect,2.600951,
1,2,1,0.75,Incorrect,2.617533,
1,2,1,0.75,Incorrect,2.634041,
1,2,1,0.75,Incorrect,2.651511,
1,2,1,0.75,Incorrect,2.668266,
1,2,1,0.75,Incorrect,2.685487,
1,2,1,0.75,Incorrect,2.704213,
1,2,1,0.75,Incorrect,2.71999,
1,2,1,0.75,Incorrect,2.736444,
1,2,1,0.75,Incorrect,2.753498,
1,2,1,0.75,Incorrect,2.770269,
1,2,1,0.75,Incorrect,2.787728,
1,2,1,0.75,Incorrect,2.804882,
1,2,1,0.75,Incorrect,2.821704,
1,2,1,0.75,Incorrect,2.83887,
1,2,1,0.75,Incorrect,2.85534,
1,2,1,0.75,Incorrect,2.873029,
1,2,1,0.75,Incorrect,2.889375,
1,2,1,0.75,Incorrect,2.905996,
1,2,1,0.75,Incorrect,2.922825,
1,2,1,0.75,Incorrect,2.94046,
1,2,1,0.75,Incorrect,2.957198,
1,2,1,0.75,Incorrect,2.973579,
1,2,1,0.75,Incorrect,2.990235,
1,2,1,0.75,Incorrect,3.007884,
1,2,1,0.75,Incorrect,3.024484,
1,2,1,0.75,Incorrect,3.041215,
1,2,1,0.75,Incorrect,3.058036,
1,2,1,0.75,Incorrect,3.07463,
1,2,1,0.75,Incorrect,3.091508,
1,2,1,0.75,Incorrect,3.107872,
1,2,1,0.75,Incorrect,3.125028,
1,2,1,0.75,Incorrect,3.142349,
1,2,1,0.75,Incorrect,3.15918,
1,2,1,0.75,Incorrect,3.175858,
1,2,1,0.75,Incorrect,3.192831,
1,2,1,0.75,Incorrect,3.210141,
1,2,1,0.75,Incorrect,3.227634,
1,2,1,0.75,Incorrect,3.24481,
1,2,1,0.75,Incorrect,3.261118,
1,2,1,0.75,Incorrect,3.278431,
1,2,1,0.75,Incorrect,3.296599,
1,2,1,0.75,Incorrect,3.313302,
1,2,1,0.75,Incorrect,3.330561,
1,2,1,0.75,Incorrect,3.347331,
1,2,1,0.75,Incorrect,3.365109,
1,2,1,0.75,Incorrect,3.382243,
1,2,1,0.75,Incorrect,3.399488,
1,2,1,0.75,Incorrect,3.417431,
1,2,1,0.75,Incorrect,3.436116,
1,2,1,0.75,Incorrect,3.45313,
1,2,1,0.75,Incorrect,3.470108,
1,2,1,0.75,Incorrect,3.487607,
1,2,1,0.75,Incorrect,3.504633,
1,2,1,0.75,Incorrect,3.522349,
1,2,1,0.75,Incorrect,3.539304,
1,2,1,0.75,Incorrect,3.555156,
1,2,1,0.75,Incorrect,3.57209,
1,2,1,0.75,Incorrect,3.589227,
1,2,1,0.75,Incorrect,3.606239,
1,2,1,0.75,Incorrect,3.623323,
1,2,1,0.75,Incorrect,3.6401,
1,2,1,0.75,Incorrect,3.657369,
1,2,1,0.75,Incorrect,3.674243,
1,2,1,0.75,Incorrect,3.690837,
1,2,1,0.75,Incorrect,3.707732,
1,2,1,0.75,Incorrect,3.725182,
1,2,1,0.75,Incorrect,3.741635,
1,2,1,0.75,Incorrect,3.758971,
1,2,1,0.75,Incorrect,3.775616,
1,2,1,0.75,Incorrect,3.792154,
1,2,1,0.75,Incorrect,3.810489,
1,2,1,0.75,Incorrect,3.825949,
1,2,1,0.75,Incorrect,3.842369,
1,2,1,0.75,Incorrect,3.860171,
1,2,1,0.75,Incorrect,3.877033,
1,2,1,0.75,Incorrect,3.89374,
1,2,1,0.75,Incorrect,3.910813,
1,2,1,0.75,Incorrect,3.927252,
1,2,1,0.75,Incorrect,3.944837,
1,2,1,0.75,Incorrect,3.961593,
1,2,1,0.75,Incorrect,3.978511,
1,2,1,0.75,Incorrect,3.995211,
1,2,1,0.75,Incorrect,4.01245,
1,2,1,0.75,Incorrect,4.029121,
1,2,1,0.75,Incorrect,4.045848,
1,2,1,0.75,Incorrect,4.06295,
1,2,1,0.75,Incorrect,4.079679,
1,2,1,0.75,Incorrect,4.096067,
1,2,1,0.75,Incorrect,4.112757,
1,2,1,0.75,Incorrect,4.130107,
1,2,1,0.75,Incorrect,4.147485,
1,2,1,0.75,Incorrect,4.165426,
1,2,1,0.75,Incorrect,4.182409,
1,2,1,0.75,Incorrect,4.198969,
1,2,1,0.75,Incorrect,4.216129,
1,2,1,0.75,Incorrect,4.232833,
1,2,1,0.75,Incorrect,4.250139,
1,2,1,0.75,Incorrect,4.267636,
